,data,godzina,dom,wyjazd,wynik
333,1993-08-04,,Pogoń Szczecin,ŁKS Łódź,2:0
334,1993-08-04,,TS Tygodnik Miliarder Pniewy,Warta Poznań,2:0
335,1993-08-04,,Polonia Warszawa,Zawisza Bydgoszcz,1:1
336,1993-08-04,,Górnik Zabrze,Stal Stalowa Wola,2:0
337,1993-08-04,,Zagłębie Lubin,Wisła Kraków,0:0
338,1993-08-04,,Hutnik Kraków,GKS Katowice,3:1
339,1993-08-04,,Siarka Tarnobrzeg,Ruch Chorzów,0:1
340,1993-08-04,,Lech Poznań,Legia Warszawa,2:1
341,1993-08-04,,Widzew Łódź,FKS Stal Mielec,3:3
342,1993-08-07,,FKS Stal Mielec,Pogoń Szczecin,0:0
343,1993-08-07,,Legia Warszawa,Widzew Łódź,2:0
344,1993-08-07,,Ruch Chorzów,Lech Poznań,3:2
345,1993-08-07,,GKS Katowice,Siarka Tarnobrzeg,0:1
346,1993-08-07,,Wisła Kraków,Hutnik Kraków,1:2
347,1993-08-07,,Stal Stalowa Wola,Zagłębie Lubin,0:0
348,1993-08-07,,Zawisza Bydgoszcz,Górnik Zabrze,0:1
349,1993-08-07,,Warta Poznań,Polonia Warszawa,2:0
350,1993-08-07,,ŁKS Łódź,TS Tygodnik Miliarder Pniewy,1:0
351,1993-08-14,,Pogoń Szczecin,TS Tygodnik Miliarder Pniewy,2:1
352,1993-08-14,,Polonia Warszawa,ŁKS Łódź,0:2
353,1993-08-14,,Górnik Zabrze,Warta Poznań,2:1
354,1993-08-14,,Zagłębie Lubin,Zawisza Bydgoszcz,3:2
355,1993-08-14,,Hutnik Kraków,Stal Stalowa Wola,2:0
356,1993-08-14,,Siarka Tarnobrzeg,Wisła Kraków,1:2
357,1993-08-14,,Lech Poznań,GKS Katowice,1:1
358,1993-08-14,,Widzew Łódź,Ruch Chorzów,1:1
359,1993-08-14,,FKS Stal Mielec,Legia Warszawa,1:3
360,1993-08-18,,Legia Warszawa,Pogoń Szczecin,0:0
361,1993-08-18,,Ruch Chorzów,FKS Stal Mielec,3:0
362,1993-08-18,,GKS Katowice,Widzew Łódź,1:1
363,1993-08-18,,Wisła Kraków,Lech Poznań,0:1
364,1993-08-18,,Stal Stalowa Wola,Siarka Tarnobrzeg,0:0
365,1993-08-18,,Zawisza Bydgoszcz,Hutnik Kraków,1:1
366,1993-08-18,,Warta Poznań,Zagłębie Lubin,2:1
367,1993-08-18,,ŁKS Łódź,Górnik Zabrze,2:2
368,1993-08-18,,TS Tygodnik Miliarder Pniewy,Polonia Warszawa,5:0
369,1993-08-21,,Pogoń Szczecin,Polonia Warszawa,2:0
370,1993-08-21,,Górnik Zabrze,TS Tygodnik Miliarder Pniewy,1:1
371,1993-08-21,,Zagłębie Lubin,ŁKS Łódź,2:6
372,1993-08-21,,Hutnik Kraków,Warta Poznań,0:2
373,1993-08-21,,Siarka Tarnobrzeg,Zawisza Bydgoszcz,0:0
374,1993-08-21,,Lech Poznań,Stal Stalowa Wola,1:0
375,1993-08-21,,Widzew Łódź,Wisła Kraków,3:2
376,1993-08-21,,FKS Stal Mielec,GKS Katowice,1:2
377,1993-08-21,,Legia Warszawa,Ruch Chorzów,2:0
378,1993-08-25,,Ruch Chorzów,Pogoń Szczecin,1:1
379,1993-08-25,,GKS Katowice,Legia Warszawa,1:1
380,1993-08-25,,Wisła Kraków,FKS Stal Mielec,2:0
381,1993-08-25,,Stal Stalowa Wola,Widzew Łódź,1:2
382,1993-08-25,,Zawisza Bydgoszcz,Lech Poznań,1:3
383,1993-08-25,,Warta Poznań,Siarka Tarnobrzeg,1:0
384,1993-08-25,,ŁKS Łódź,Hutnik Kraków,0:0
385,1993-08-25,,TS Tygodnik Miliarder Pniewy,Zagłębie Lubin,1:0
386,1993-08-25,,Polonia Warszawa,Górnik Zabrze,2:2
387,1993-08-28,,Pogoń Szczecin,Górnik Zabrze,1:2
388,1993-08-28,,Zagłębie Lubin,Polonia Warszawa,1:0
389,1993-08-28,,Hutnik Kraków,TS Tygodnik Miliarder Pniewy,1:0
390,1993-08-28,,Siarka Tarnobrzeg,ŁKS Łódź,3:1
391,1993-08-28,,Lech Poznań,Warta Poznań,1:0
392,1993-08-28,,Widzew Łódź,Zawisza Bydgoszcz,2:3
393,1993-08-28,,FKS Stal Mielec,Stal Stalowa Wola,2:0
394,1993-08-28,,Legia Warszawa,Wisła Kraków,1:1
395,1993-08-28,,Ruch Chorzów,GKS Katowice,0:1
396,1993-09-11,,GKS Katowice,Pogoń Szczecin,1:1
397,1993-09-11,,Wisła Kraków,Ruch Chorzów,0:2
398,1993-09-11,,Stal Stalowa Wola,Legia Warszawa,1:1
399,1993-09-11,,Zawisza Bydgoszcz,FKS Stal Mielec,2:2
